"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","test_get_users","tests.api","2026-04-26","passed","2026-04-26","","test_sample_api","",""
"","365","test_login[data2]","tests.ui","2026-04-26","passed","2026-04-26","","test_login","",""
"","379","test_login[data1]","tests.ui","2026-04-26","passed","2026-04-26","","test_login","",""
"","1","test_user_in_db","tests.db","2026-04-26","passed","2026-04-26","","test_db_validation","",""
"","4","test_api_user_matches_db","tests.db","2026-04-26","passed","2026-04-26","","test_api_db_validation","",""
"","438","test_login[data0]","tests.ui","2026-04-26","passed","2026-04-26","","test_login","",""
